x:x:x, pot=60 
x:x:b10:r20:c:c, pot=120 
x:x:b10:r20:c:f, pot=110 
x:x:b10:r20:f:c, pot=100 
x:x:b10:r20:f:f, pot=90 
x:x:b10:c:r20:c:c, pot=120 
x:x:b10:c:r20:c:f, pot=110 
x:x:b10:c:r20:f:c, pot=110 
x:x:b10:c:r20:f:f, pot=100 
x:x:b10:c:c, pot=90 
x:x:b10:c:f, pot=80 
x:x:b10:f:r20:c, pot=100 
x:x:b10:f:r20:f, pot=90 
x:x:b10:f:c, pot=80 
x:x:b10:f:f, pot=70 
x:b10:r20:c:c, pot=120 
x:b10:r20:c:f, pot=110 
x:b10:r20:f:c, pot=100 
x:b10:r20:f:f, pot=90 
x:b10:c:r20:c:c, pot=120 
x:b10:c:r20:c:f, pot=110 
x:b10:c:r20:f:c, pot=110 
x:b10:c:r20:f:f, pot=100 
x:b10:c:c, pot=90 
x:b10:c:f, pot=80 
x:b10:f:r20:c, pot=100 
x:b10:f:r20:f, pot=90 
x:b10:f:c, pot=80 
x:b10:f:f, pot=70 
b10:r20:c:c, pot=120 
b10:r20:c:f, pot=110 
b10:r20:f:c, pot=100 
b10:r20:f:f, pot=90 
b10:c:r20:c:c, pot=120 
b10:c:r20:c:f, pot=110 
b10:c:r20:f:c, pot=110 
b10:c:r20:f:f, pot=100 
b10:c:c, pot=90 
b10:c:f, pot=80 
b10:f:r20:c, pot=100 
b10:f:r20:f, pot=90 
b10:f:c, pot=80 
b10:f:f, pot=70 
